project,date,author,aqua,condition,species,id,weight,temperature,salinity,statut,comment
mesocosm_monitoring,2019-02-19 15:00:00,jordan,B0,normal,s.hystrix,29,0.789,25.0,35.0,good,
mesocosm_monitoring,2019-02-19 15:00:00,jordan,B0,normal,s.hystrix,30,0.630,25.0,35.0,good,
mesocosm_monitoring,2019-02-19 15:00:00,jordan,B0,normal,s.hystrix,31,1.145,25.0,35.0,good,
mesocosm_monitoring,2019-02-19 15:00:00,jordan,B0,normal,s.hystrix,32,0.523,25.0,35.0,good,numéro 32 est tombé est a perdu une petite branche
mesocosm_monitoring,2019-02-19 15:00:00,jordan,B0,normal,s.hystrix,33,0.926,25.0,35.0,good,
mesocosm_monitoring,2019-02-19 15:00:00,jordan,B0,normal,s.hystrix,34,0.656,25.0,35.0,good,
mesocosm_monitoring,2019-02-19 15:00:00,jordan,B0,normal,s.hystrix,35,0.536,25.0,35.0,good,
mesocosm_monitoring,2019-02-19 15:00:00,jordan,B0,normal,s.hystrix,36,0.870,25.0,35.0,good,
mesocosm_monitoring,2019-02-19 15:00:00,jordan,B0,normal,s.hystrix,37,0.784,25.0,35.0,good,
mesocosm_monitoring,2019-02-19 15:00:00,jordan,B0,normal,s.hystrix,38,0.567,25.0,35.0,good,
mesocosm_monitoring,2019-02-19 15:00:00,jordan,B0,normal,s.hystrix,39,1.357,25.0,35.0,good,
mesocosm_monitoring,2019-02-19 15:00:00,jordan,B0,normal,s.hystrix,40,1.267,25.0,35.0,good,
mesocosm_monitoring,2019-02-21 10:00:00,jordan,B0,normal,s.hystrix,41,1.404,24.5,35.0,good,
mesocosm_monitoring,2019-02-21 10:00:00,jordan,B0,normal,s.hystrix,42,0.676,24.5,35.0,good,
mesocosm_monitoring,2019-02-21 10:00:00,jordan,B0,normal,s.hystrix,43,0.793,24.5,35.0,good,
mesocosm_monitoring,2019-02-21 10:00:00,jordan,B0,normal,s.hystrix,44,1.587,24.5,35.0,good,
mesocosm_monitoring,2019-02-21 10:00:00,jordan,B0,normal,s.hystrix,45,0.762,24.5,35.0,good,
mesocosm_monitoring,2019-02-21 10:00:00,jordan,B0,normal,s.hystrix,46,0.849,24.5,35.0,good,
mesocosm_monitoring,2019-02-21 10:00:00,jordan,B0,normal,s.hystrix,47,0.502,24.5,35.0,good,
mesocosm_monitoring,2019-02-21 10:00:00,jordan,B0,normal,s.hystrix,48,0.893,24.5,35.0,good,
mesocosm_monitoring,2019-02-21 10:00:00,jordan,B0,normal,s.hystrix,49,1.499,24.5,35.0,good,
mesocosm_monitoring,2019-02-21 10:00:00,jordan,B0,normal,s.hystrix,50,0.498,24.5,35.0,good,
